open,close,high,low,value,volume,begin,end
288.9,287.42,290.92,286.59,18231430821.4,63197880.0,2021-04-20,2021-04-20 23:59:59
288.01,289.25,290.2,287.06,14366094028.1,49792800.0,2021-04-21,2021-04-21 23:59:59
289.04,292.18,294.67,286.93,21455730263.7,73632070.0,2021-04-22,2021-04-22 23:59:59
293.1,293.19,294.2,290.78,12479394619.2,42651330.0,2021-04-23,2021-04-23 23:59:59
294.3,295.27,296.48,293.1,13489611763.3,45760050.0,2021-04-26,2021-04-26 23:59:59
295.74,298.5,300.25,295.61,18736951208.9,62853160.0,2021-04-27,2021-04-27 23:59:59
299.0,298.49,299.26,295.89,12086194096.3,40622520.0,2021-04-28,2021-04-28 23:59:59
301.0,297.1,301.84,294.79,17035466804.4,57082260.0,2021-04-29,2021-04-29 23:59:59
296.92,297.73,298.1,295.03,10590175090.3,35679650.0,2021-04-30,2021-04-30 23:59:59
298.7,303.7,304.23,298.2,18254360973.5,60457530.0,2021-05-04,2021-05-04 23:59:59
304.01,305.99,306.03,302.71,12686338080.0,41715270.0,2021-05-05,2021-05-05 23:59:59
306.29,314.72,314.98,306.25,19445261780.6,62565270.0,2021-05-06,2021-05-06 23:59:59
316.0,317.94,319.16,315.48,17932443392.3,56433970.0,2021-05-07,2021-05-07 23:59:59
318.26,320.19,320.19,314.31,18859902204.9,59248110.0,2021-05-10,2021-05-10 23:59:59
303.0,307.16,309.48,301.0,24461595534.6,79945470.0,2021-05-11,2021-05-11 23:59:59
307.39,302.02,309.24,302.0,17117472278.0,56142830.0,2021-05-12,2021-05-12 23:59:59
302.11,306.74,306.86,299.33,17480492963.7,57721460.0,2021-05-13,2021-05-13 23:59:59
308.2,304.1,308.24,302.33,8184103496.4,26858430.0,2021-05-14,2021-05-14 23:59:59
303.5,303.94,305.24,301.01,8602278545.3,28384220.0,2021-05-17,2021-05-17 23:59:59
305.01,305.78,306.62,303.33,10826259827.2,35496400.0,2021-05-18,2021-05-18 23:59:59
304.38,297.0,304.88,295.1,21447203504.1,71747950.0,2021-05-19,2021-05-19 23:59:59
297.94,296.72,298.37,293.0,17309608890.0,58510610.0,2021-05-20,2021-05-20 23:59:59
296.85,301.23,302.98,294.9,15412865248.4,51415080.0,2021-05-21,2021-05-21 23:59:59
302.02,300.7,304.75,299.59,9305994897.1,30831530.0,2021-05-24,2021-05-24 23:59:59
301.77,306.8,307.4,301.57,11446226253.2,37547680.0,2021-05-25,2021-05-25 23:59:59
307.84,307.01,309.5,305.33,10872171628.4,35358520.0,2021-05-26,2021-05-26 23:59:59
306.39,312.72,313.9,305.72,22015829895.0,70753690.0,2021-05-27,2021-05-27 23:59:59
313.3,309.56,314.0,309.06,11019520782.9,35484140.0,2021-05-28,2021-05-28 23:59:59
309.3,310.79,312.6,308.82,7358441686.8,23683010.0,2021-05-31,2021-05-31 23:59:59
312.6,311.6,314.17,310.03,11760039651.1,37655890.0,2021-06-01,2021-06-01 23:59:59
311.6,313.98,314.0,310.61,8442830252.9,27008780.0,2021-06-02,2021-06-02 23:59:59
314.81,312.41,315.71,309.87,10797490935.7,34546320.0,2021-06-03,2021-06-03 23:59:59
313.0,310.94,313.0,307.6,11511460400.7,37126650.0,2021-06-04,2021-06-04 23:59:59
310.03,315.53,316.0,308.57,12604316205.2,40197440.0,2021-06-07,2021-06-07 23:59:59
315.29,314.83,316.18,312.5,10985227365.0,34944620.0,2021-06-08,2021-06-08 23:59:59
315.0,314.78,315.9,312.9,7911580970.5,25152290.0,2021-06-09,2021-06-09 23:59:59
314.87,314.62,316.58,313.76,9205108791.4,29211800.0,2021-06-10,2021-06-10 23:59:59
314.88,313.0,315.08,312.5,6874717176.9,21924900.0,2021-06-11,2021-06-11 23:59:59
313.48,314.12,314.87,310.4,7981522587.1,25517710.0,2021-06-14,2021-06-14 23:59:59
314.14,312.51,315.6,312.4,9338359538.4,29741250.0,2021-06-15,2021-06-15 23:59:59
312.5,311.61,314.54,311.03,11970095572.4,38253860.0,2021-06-16,2021-06-16 23:59:59
